Nom_produit_ldlc,Nom_produit_topachat,Prix (€) ldlc,Prix (€) topachat,Prix Moyen (€),Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Longueur,Largeur,Epaisseur,Type du GPU
sapphire nitro+ amd radeon rx 7900 xt vapor-x 20gb,sapphire radeon rx 7900 xt nitro,1199.95,1189.99,1194.97,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,320.0,136.0,72.0,radeon
sapphire pulse amd radeon rx 7900 xtx 24gb,sapphire radeon rx 7900 xtx pulse,1279.96,1269.99,1274.975,radeon rx 7900,sapphire,24,gddr6,pci express 4.0,313.0,134.0,53.0,radeon
sapphire pulse amd radeon rx 7900 xt 20gb,sapphire radeon rx 7900 xt pulse,1149.95,1129.99,1139.97,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,313.0,134.0,53.0,radeon
gigabyte geforce rtx 4090 gaming oc 24g,gigabyte geforce rtx 4090 gaming oc,2329.94,2199.99,2264.965,geforce rtx 4090,gigabyte,24,gddr6x,pci express 4.0,340.0,150.0,75.0,geforce
asus tuf geforce rtx 3060 ti o8g gaming gddr6x (lhr),asus geforce rtx 3060 ti tuf o8gd6x gaming (lhr),599.95,589.99,594.97,geforce rtx 3060,asus,8,gddr6x,pci express 4.0,302.0,142.0,54.0,geforce
asus radeon rx 6650 xt dual o8g oc,asus radeon rx 6650 xt dual o8g ,439.96,429.99,434.975,radeon rx 6650,asus,8,gddr6,pci express 4.0,243.0,134.0,49.0,radeon
gigabyte geforce rtx 4080 aero oc 16g,gigabyte geforce rtx 4080 aero oc (16 go),1629.95,1599.99,1614.97,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,342.0,150.0,75.0,geforce
gigabyte geforce rtx 4080 eagle oc 16g,gigabyte geforce rtx 4080 eagle oc (16 go),1569.95,1549.99,1559.97,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,342.0,150.0,70.0,geforce
msi geforce rtx 3050 ventus 2x 8g oc lhr,msi geforce rtx 3050 ventus 2x oc (lhr),389.95,379.99,384.97,geforce rtx 3050,msi,8,gddr6,pci express 4.0,235.0,124.0,42.0,geforce
asus radeon rx 6400 phoenix 4g,asus radeon rx 6400 ph ,189.95,184.99,187.47,radeon rx 6400,asus,4,gddr6,pci express 4.0,196.0,128.0,40.0,radeon
zotac geforce rtx 4080 amp extreme airo,zotac geforce rtx 4080 amp extreme airo (16 go),1629.95,1599.99,1614.97,geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,356.0,150.0,72.0,geforce
msi geforce rtx 4090 suprim x 24g,msi geforce rtx 4090 suprim x,2229.95,2199.99,2214.97,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,336.0,142.0,78.0,geforce
msi geforce rtx 3050 ventus 2x 8g lhr,msi geforce rtx 3050 ventus 2x (lhr),389.95,379.99,384.97,geforce rtx 3050,msi,8,gddr6,pci express 4.0,235.0,124.0,42.0,geforce
powercolor red devil amd radeon rx 6650 xt 8gb gddr6,powercolor radeon rx 6650 xt red devil ,479.95,459.99,469.97,radeon rx 6650,powercolor,8,gddr6,pci express 4.0,251.0,133.0,54.0,radeon
gainward geforce rtx 4090 phantom,gainward geforce rtx 4090 phantom,1969.94,1949.99,1959.9650000000001,geforce rtx 4090,gainward,24,gddr6x,pci express 4.0,329.0,142.0,70.0,geforce
powercolor hellhound radeon rx 6650 xt 8gb gddr6,powercolor radeon rx 6650 xt hellhound ,439.96,429.99,434.975,radeon rx 6650,powercolor,8,gddr6,pci express 4.0,220.0,132.0,45.0,radeon
sapphire nitro+ radeon rx 6650 xt gaming oc 8gb,sapphire radeon rx 6650 xt nitro,429.95,419.99,424.97,radeon rx 6650,sapphire,8,gddr6,pci express 4.0,260.0,130.0,58.0,radeon
asus radeon rx 6400 dual 4g,asus radeon rx 6400 dual ,199.96,189.99,194.97500000000002,radeon rx 6400,asus,4,gddr6,pci express 4.0,201.0,124.0,40.0,radeon
asus geforce rtx dual 3060 ti o8g v2 (lhr),asus geforce rtx 3060 ti dual o8g v2 (lhr),589.96,579.99,584.975,geforce rtx 3060,asus,8,gddr6,pci express 4.0,269.0,136.0,52.0,geforce
msi geforce rtx 3060 ventus 3x 12g oc lhr,msi geforce rtx 3060 ventus 3x oc (lhr),599.95,469.99,534.97,geforce rtx 3060,msi,12,gddr6,pci express 4.0,316.0,120.0,42.0,geforce
gigabyte geforce rtx 4070 ti eagle oc 12g,gigabyte geforce rtx 4070 ti eagle oc (12 go),1049.95,1039.99,1044.97,geforce rtx 4070,gigabyte,12,gddr6x,pci express 4.0,301.0,136.0,58.0,geforce
asus rog strix geforce rtx 4080 white oc edition 16gb,asus geforce rtx 4080 rog strix o16g white (16 go),1919.95,1899.99,1909.97,geforce rtx 4080,asus,16,gddr6x,pci express 4.0,358.0,149.0,70.0,geforce
gigabyte geforce rtx 3060 ti gaming oc 8g (rev. 2.0) (lhr),gigabyte geforce rtx 3060 ti gaming oc rev 2.0 (lhr),599.95,579.99,589.97,geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,282.0,117.0,41.0,geforce
asrock amd radeon rx 6650 xt phantom gaming d 8gb oc,asrock radeon rx 6650 xt phantom gaming d ,489.95,489.99,489.97,radeon rx 6650,asrock,8,gddr6,pci express 4.0,305.0,131.0,48.0,radeon
msi geforce rtx 3050 aero itx 8g oc lhr,msi geforce rtx 3050 aero itx oc (lhr),389.95,379.99,384.97,geforce rtx 3050,msi,8,gddr6,pci express 4.0,172.0,125.0,43.0,geforce
gainward geforce rtx 3050 ghost (lhr),gainward geforce rtx 3050 ghost (lhr),374.95,364.99,369.97,geforce rtx 3050,gainward,8,gddr6,pci express 4.0,245.0,119.0,,geforce
sapphire pulse radeon rx 6650 xt gaming oc 8gb,sapphire radeon rx 6650 xt pulse ,449.95,439.99,444.97,radeon rx 6650,sapphire,8,gddr6,pci express 4.0,240.0,120.0,45.0,radeon
gigabyte geforce rtx 3060 ti vision oc 8g (rev. 2.0) (lhr),gigabyte geforce rtx 3060 ti vision oc rev 2.0 (lhr),569.95,549.99,559.97,geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,281.0,115.0,40.0,geforce
msi radeon rx 6650 xt gaming x 8g,msi radeon rx 6650 xt gaming x ,499.96,499.99,499.975,radeon rx 6650,msi,8,gddr6,pci express 4.0,278.0,130.0,51.0,radeon
